Hour,Gross Sales,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,Month,date,Year
11,8.78,0,0,0,0,1,0,0,1,3,2019
12,96.74,0,0,0,0,1,0,0,1,3,2019
13,48.41,0,0,0,0,1,0,0,1,3,2019
14,79.26,0,0,0,0,1,0,0,1,3,2019
15,73.65,0,0,0,0,1,0,0,1,3,2019
16,89.81,0,0,0,0,1,0,0,1,3,2019
17,88.94,0,0,0,0,1,0,0,1,3,2019
18,132.54,0,0,0,0,1,0,0,1,3,2019
19,39.12,0,0,0,0,1,0,0,1,3,2019
20,23.8,0,0,0,0,1,0,0,1,3,2019
12,37.63,1,0,0,0,0,0,0,1,4,2019
14,68.35,1,0,0,0,0,0,0,1,4,2019
15,55.62,1,0,0,0,0,0,0,1,4,2019
16,110.07,1,0,0,0,0,0,0,1,4,2019
17,33.17,1,0,0,0,0,0,0,1,4,2019
18,38.18,1,0,0,0,0,0,0,1,4,2019
19,15.43,1,0,0,0,0,0,0,1,4,2019
20,106.52,1,0,0,0,0,0,0,1,4,2019
11,6.5,0,0,1,0,0,0,0,1,5,2019
12,55.17,0,0,1,0,0,0,0,1,5,2019
13,95.76,0,0,1,0,0,0,0,1,5,2019
14,100.21,0,0,1,0,0,0,0,1,5,2019
15,84.84,0,0,1,0,0,0,0,1,5,2019
16,105.54,0,0,1,0,0,0,0,1,5,2019
17,102.09,0,0,1,0,0,0,0,1,5,2019
18,82.99,0,0,1,0,0,0,0,1,5,2019
19,76.15,0,0,1,0,0,0,0,1,5,2019
20,86.87,0,0,1,0,0,0,0,1,5,2019
21,9.6,0,0,1,0,0,0,0,1,5,2019
12,72.16,0,0,0,1,0,0,0,1,6,2019
13,206.18,0,0,0,1,0,0,0,1,6,2019
14,113.99,0,0,0,1,0,0,0,1,6,2019
15,115.4,0,0,0,1,0,0,0,1,6,2019
16,142.63,0,0,0,1,0,0,0,1,6,2019
17,107.83,0,0,0,1,0,0,0,1,6,2019
18,45.83,0,0,0,1,0,0,0,1,6,2019
19,28.49,0,0,0,1,0,0,0,1,6,2019
20,43,0,0,0,1,0,0,0,1,6,2019
11,4.5,0,1,0,0,0,0,0,1,7,2019
12,67.88,0,1,0,0,0,0,0,1,7,2019
13,31.58,0,1,0,0,0,0,0,1,7,2019
14,16.99,0,1,0,0,0,0,0,1,7,2019
15,52.82,0,1,0,0,0,0,0,1,7,2019
16,47.64,0,1,0,0,0,0,0,1,7,2019
17,67.81,0,1,0,0,0,0,0,1,7,2019
18,29.95,0,1,0,0,0,0,0,1,7,2019
19,135.37,0,1,0,0,0,0,0,1,7,2019
20,29.73,0,1,0,0,0,0,0,1,7,2019
21,42.68,0,1,0,0,0,0,0,1,7,2019
22,33.04,0,1,0,0,0,0,0,1,7,2019
23,33.8,0,1,0,0,0,0,0,1,7,2019
11,2.99,0,0,0,0,0,1,0,1,8,2019
12,63.68,0,0,0,0,0,1,0,1,8,2019
13,57.04,0,0,0,0,0,1,0,1,8,2019
14,76.1,0,0,0,0,0,1,0,1,8,2019
15,92.18,0,0,0,0,0,1,0,1,8,2019
16,80.1,0,0,0,0,0,1,0,1,8,2019
17,120.22,0,0,0,0,0,1,0,1,8,2019
18,59.18,0,0,0,0,0,1,0,1,8,2019
19,55.07,0,0,0,0,0,1,0,1,8,2019
20,38.66,0,0,0,0,0,1,0,1,8,2019
21,117.43,0,0,0,0,0,1,0,1,8,2019
22,58.44,0,0,0,0,0,1,0,1,8,2019
23,19.39,0,0,0,0,0,1,0,1,8,2019
12,89.57,0,0,0,0,0,0,1,1,9,2019
13,14.24,0,0,0,0,0,0,1,1,9,2019
14,40.6,0,0,0,0,0,0,1,1,9,2019
15,68.93,0,0,0,0,0,0,1,1,9,2019
16,8.7,0,0,0,0,0,0,1,1,9,2019
17,41.36,0,0,0,0,0,0,1,1,9,2019
